id,Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,14 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate,14 Day Advertised ASIN Units (#),14 Day Brand Halo ASIN Units (#),14 Day Advertised ASIN Sales ,14 Day Brand Halo ASIN Sales 
6362,2025-09-01,No Portfolio,INR,Lotus Seed - SP AUTO - SP-RCH1,Lotus Seed - SP AUTO - SP-RCH1,substitutes,-,b0cwlqrj2k,2,1,0.5,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6363,2025-09-04,No Portfolio,INR,Lotus Seed - SP AUTO - SP-RCH1,Lotus Seed - SP AUTO - SP-RCH1,substitutes,-,b0cwlqrj2k,5,1,0.2,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6364,2025-08-30,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cwvddpdg,70,4,0.05714286,2.4975,9.99,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6365,2025-09-02,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cwvddpdg,69,1,0.01449275,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6366,2025-09-04,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cwvddpdg,47,2,0.04255319,1.725,3.45,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6367,2025-08-30,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cwvddpdg,63,2,0.03174603,2.0,4.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6368,2025-09-01,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0cwvddpdg,95,2,0.02105263,2.23,4.46,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6369,2025-09-02,No Portfolio,INR,Bamboo Braided Spiral Stick - SP AUTO - SP-RCH1,Bamboo Braided Spiral Stick - SP AUTO - SP-RCH1,substitutes,-,b0cwvmh1l2,7,2,0.2857143,3.64,7.28,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6370,2025-09-05,No Portfolio,INR,Bamboo Braided Spiral Stick - SP AUTO - SP-RCH1,Bamboo Braided Spiral Stick - SP AUTO - SP-RCH1,substitutes,-,b0cwvmxxps,1,1,1.0,3.56,3.56,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6371,2025-09-05,No Portfolio,INR,Lotus Seed - SP AUTO - SP-RCH1,Lotus Seed - SP AUTO - SP-RCH1,substitutes,-,b0cxf7k6dc,2,1,0.5,1.2,1.2,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6372,2025-09-02,No Portfolio,INR,Lotus Seed - SP AUTO - SP-RCH1,Lotus Seed - SP AUTO - SP-RCH1,substitutes,-,b0cxprtkcw,1,1,1.0,1.15,1.15,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6373,2025-09-04,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cxpvz24l,1,1,1.0,2.39,2.39,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6374,2025-09-04,No Portfolio,INR,Second New Plant - SP Auto - SP-RCH1,Second New Plant - SP Auto,complements,-,b0cxpwrznt,1,1,1.0,2.18,2.18,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6375,2025-08-30,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cxpwrznt,2,1,0.5,2.46,2.46,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6376,2025-08-30,No Portfolio,INR,Bamboo Plant - B0F93M45DM - Generic - SP - Auto - SP - RCH1,Bamboo Plant - B0F93M45DM - Generic - SP - Auto - SP - RCH1,substitutes,-,b0cxpwrznt,7,1,0.1428571,1.91,1.91,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6377,2025-09-03,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cxsp74y8,5,1,0.2,2.2,2.2,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6378,2025-08-31,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,complements,-,b0cxsx8kr9,24,1,0.04166667,2.6,2.6,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6379,2025-09-02,No Portfolio,INR,Bamboo Plant - B0F93M45DM - Generic - SP - Auto - SP - RCH1,Bamboo Plant - B0F93M45DM - Generic - SP - Auto - SP - RCH1,substitutes,-,b0cxsx8kr9,4,1,0.25,2.5,2.5,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
